Year,Type,Country,Area,Activity,Reference
2017.0,Unprovoked,USA,Hawaii,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.09-Milan.pdf
2017.0,Unprovoked,USA,Hawaii,Snorkeling,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.05-Hawaii.pdf
2017.0,Invalid,SOUTH AFRICA,Western Cape Province,Scuba Diving,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.01-Fick.pdf
2017.0,Unprovoked,USA,Florida,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.25.b-White.pdf
2017.0,Unprovoked,AUSTRALIA,Western Australia,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.25.a-Vissers.pdf
2017.0,Invalid,USA,New York,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.24.b-Behrend.pdf
2017.0,Unprovoked,USA,Florida,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.24.a-FortWorth.pdf
2017.0,Unprovoked,USA,Florida,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.20-Inniss.pdf
2017.0,Unprovoked,SPAIN,Canary Islands,Body surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.16.b-GrandCanary.pdf
2017.0,Unprovoked,USA,Florida,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.16.a-Volusia.pdf
2017.0,Invalid,SOUTH AFRICA,Western Cape Province,Scuba Diving,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.15.b-Love.pdf
2017.0,Boating,AUSTRALIA,Westerm Australia,Fishing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.14-EsperanceBoats.pdf
2017.0,Unprovoked,USA,Florida,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.13-Loyd.pdf
2017.0,Unprovoked,AUSTRALIA,Westerm Australia,Swimming,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.10.b-Samson.pdf
2017.0,Unprovoked,AUSTRALIA,New South Wales,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.10.a-McGrath.pdf
2017.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Swimming, poaching abalone",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.03.b-Xelela.pdf
2017.0,Unprovoked,JAPAN,Shizuoka Prefecture,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.03.a-Japan.pdf
2017.0,Unprovoked,USA,Florida,Swimming,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.02.c-Maccarty.pdf
2017.0,Unprovoked,USA,Texas,Swimming,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.02.b-SouthPadre.pdf
2017.0,Unprovoked,USA,Florida,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.02.a-Elmore.pdf
2017.0,Unprovoked,AUSTRALIA,Victoria,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.27-Brundler.pdf
